,Player,ThreeP
266,Jason Kapono,0.514
196,Walter Herrmann,0.461
180,Al Harrington,0.458
336,Steve Nash*,0.455
31,Brent Barry,0.446
194,Luther Head,0.441
360,Anthony Parker,0.441
450,Jason Terry,0.438
25,Leandro Barbosa,0.434
179,Al Harrington,0.433
274,Kyle Korver,0.43
206,Eddie House,0.429
162,Gordan Giriček,0.426
334,Boštjan Nachbar,0.423
36,Shane Battier,0.421
58,Earl Boykins,0.419
160,Daniel Gibson,0.419
181,Al Harrington,0.417
343,Dirk Nowitzki,0.416
80,Matt Carroll,0.416
446,Wally Szczerbiak,0.415
199,Kirk Hinrich,0.415
390,Allan Ray,0.414
38,Raja Bell,0.413
166,Ben Gordon,0.413
323,Cuttino Mobley,0.411
492,Damien Wilkins,0.41
320,Mike Miller,0.406
464,Ime Udoka,0.406
365,Sasha Pavlović,0.405
439,DeShawn Stevenson,0.404
417,Brian Scalabrine,0.4
96,Brian Cook,0.4
56,Earl Boykins,0.397
107,Ricky Davis,0.397
161,Manu Ginóbili,0.396
329,Troy Murphy,0.395
407,Nate Robinson,0.39
279,Rashard Lewis,0.39
427,J.R. Smith,0.39
371,Paul Pierce*,0.389
359,Jannero Pargo,0.388
463,Hedo Türkoğlu,0.388
372,Mickaël Piétrus,0.388
479,Luke Walton,0.387
48,Keith Bogans,0.387
383,Tayshaun Prince,0.386
208,Josh Howard,0.385
254,Damon Jones,0.385
350,Mehmet Okur,0.384
55,Bruce Bowen,0.384
340,Andrés Nocioni,0.383
438,Jerry Stackhouse,0.383
391,Michael Redd,0.382
169,Danny Granger,0.382
454,Tim Thomas,0.382
297,Kevin Martin,0.381
250,Joe Johnson,0.381
20,Chucky Atkins,0.379
258,Eddie Jones,0.378
262,James Jones,0.378
148,Steve Francis,0.378
413,Brandon Roy,0.377
271,Linas Kleiza,0.376
399,Quentin Richardson,0.376
375,James Posey,0.375
57,Earl Boykins,0.373
471,Sasha Vujačić,0.373
27,Andrea Bargnani,0.373
5,Ray Allen*,0.372
235,Mike James,0.372
74,Rasual Butler,0.369
146,Randy Foye,0.368
170,Gerald Green,0.368
28,Matt Barnes,0.366
395,Jason Richardson,0.365
219,Ersan İlyasova,0.365
361,Smush Parker,0.365
489,Delonte West,0.365
485,Martell Webster,0.364
236,Antawn Jamison,0.364
157,Rudy Gay,0.364
119,Juan Dixon,0.364
141,Michael Finley,0.364
7,Rafer Alston,0.363
135,Maurice Evans,0.361
192,Jarvis Hayes,0.361
442,Salim Stoudamire,0.361
39,Mike Bibby,0.36
368,Morris Peterson,0.359
242,Richard Jefferson,0.359
124,Chris Duhon,0.359
511,Metta World Peace,0.358
415,John Salmons,0.357
289,Stephon Marbury,0.357
82,Vince Carter,0.357
65,Devin Brown,0.357
153,Francisco García,0.356
12,Derek Anderson,0.355
400,Luke Ridnour,0.353
159,Devean George,0.353
37,Charlie Bell,0.352
478,Rasheed Wallace,0.351
15,Gilbert Arenas,0.351
256,Eddie Jones,0.351
293,Donyell Marshall,0.351
118,Juan Dixon,0.35
224,Jarrett Jack,0.35
364,Chris Paul,0.35
