,Player,QBG
1,TomBrady,84.9767
4,PatrickMahomes,81.4592
5,JoshAllen,80.9498
9,DeshaunWatson,79.6784
0,MattRyan,79.2354
12,AaronRodgers,78.0368
7,RussellWilson,77.8525
3,JustinHerbert,72.5499
14,KirkCousins,72.007
11,MatthewStafford,70.0737
17,RyanTannehill,69.953
6,KylerMurray,68.7969
2,BenRoethlisberger,68.6887
13,DerekCarr,68.2809
16,BakerMayfield,65.4815
10,PhilipRivers,65.1227
8,JaredGoff,60.3203
15,TeddyBridgewater,57.4762
23,LamarJackson,54.3418
22,DrewBrees,51.5666
19,DrewLock,51.4277
18,DanielJones,50.6965
20,CarsonWentz,50.4706
21,JoeBurrow,48.2552
27,GardnerMinshew,41.6144
24,CamNewton,40.9989
32,RyanFitzpatrick,39.6079
30,MitchellTrubisky,39.3652
26,AndyDalton,39.308
28,NickMullens,38.1772
25,SamDarnold,37.7511
29,NickFoles,35.7917
31,TuaTagovailoa,35.055
35,DakPrescott,34.5911
33,AlexSmith,24.7916
34,DwayneHaskins,23.8627
36,MikeGlennon,22.5348
40,JoeFlacco,21.7169
37,JalenHurts,21.3874
39,JimmyGaroppolo,21.2429
41,TaysomHill,19.7567
93,JamisonCrowder,19.1972
43,CJBeathard,18.6469
38,BrandonAllen,18.2362
44,KyleAllen,16.9262
84,JakobiMeyers,16.6891
89,ColeBeasley,15.8484
82,RussellGage,14.7226
77,JarvisLandry,14.1277
42,JakeLuton,14.1046
98,ZayJones,14.0135
51,MasonRudolph,13.9162
58,MarcusMariota,13.8671
91,JosephCharlton,13.7932
103,IsaiahMcKenzie,13.6267
86,CedrickWilson,13.101
46,JeffDriskel,12.6511
81,JulianEdelman,12.292
90,OdellBeckham,12.2871
55,JohnWolford,11.3286
53,GarrettGilbert,11.1109
52,BrettRypien,10.9962
45,ColtMcCoy,10.4979
62,BlaineGabbert,9.7223
107,LoganThomas,8.8543
61,TaylorHeinicke,8.3072
56,RyanFinley,8.2579
60,MattBarkley,7.4621
54,ChadHenne,7.4165
78,LoganWoodside,7.3997
71,JacobyBrissett,7.0096
80,TylerBoyd,6.5491
49,ChaseDaniel,6.4708
83,TravisKelce,6.3492
69,TraceMcSorley,6.3441
79,LynnBowden,6.275
57,TyrodTaylor,6.0776
48,JarrettStidham,5.8818
63,ChrisStreveler,5.6481
73,JoshuaDobbs,5.5398
68,CaseKeenum,5.248
50,BenDiNucci,5.1999
59,BrianHoyer,5.1643
75,NathanPeterman,3.8714
108,TommyTownsend,3.2701
66,JameisWinston,3.1833
102,AJMcCarron,3.0351
64,RobertGriffin,2.8374
109,GregWard,2.3812
67,DavidBlough,2.2203
85,GoldenTate,1.9266
76,GenoSmith,1.8275
72,TylerBray,1.7876
95,AlexErickson,1.1486
74,TylerHuntley,0.9759
65,NateSudfeld,0.8464
106,EastonStick,0.7677
92,RandallCobb,0.4074
111,IsaiahWright,0.3798
105,ZachPascal,0.2989
88,KeenanAllen,0.2467
87,JamalAgnew,0.1889
99,BrettKern,0.0721
70,KendallHinton,-0.5891
110,SammyWatkins,-6.1875
47,PhillipWalker,
94,RileyDixon,
96,JaquanJohnson,
97,ChrisJones,
100,SamKoch,
101,AndyLee,
104,DJMoore,
