,Player,RBG
15,AlvinKamara,68.5315
1,DalvinCook,65.2462
0,DerrickHenry,63.0652
3,DavidMontgomery,58.4029
4,EzekielElliott,55.8449
5,JamesRobinson,52.2795
2,JoshJacobs,52.1593
9,AaronJones,50.0146
7,JonathanTaylor,48.8485
49,JDMcKissic,46.7739
19,MikeDavis,46.6387
8,MelvinGordon,46.4716
6,KenyanDrake,45.9913
20,MilesSanders,43.4281
10,KareemHunt,43.2115
24,DavidJohnson,42.5946
18,JamesConner,41.7988
16,ClydeEdwards-Helaire,41.4358
17,AntonioGibson,40.7482
13,NickChubb,40.4955
27,MylesGaskin,40.3701
22,DevinSingletary,39.7251
11,ToddGurley,39.1848
12,RonaldJones,38.6922
37,AustinEkeler,38.2959
38,DAndreSwift,38.2466
33,GiovaniBernard,37.2802
43,ChaseEdmonds,37.0489
28,ChrisCarson,36.684
48,NyheimHines,36.6382
31,JKDobbins,34.7167
44,LeonardFournette,31.7099
23,WayneGallman,30.5052
35,JamaalWilliams,30.3846
34,JoeMixon,29.4418
50,JerickMcKinnon,28.5256
32,JeffWilson,27.7621
26,GusEdwards,27.4259
14,FrankGore,27.2494
41,TonyPollard,27.2178
59,ChristianMcCaffrey,27.1604
29,DarrellHenderson,26.8046
21,AdrianPeterson,26.2566
53,DukeJohnson,25.9077
51,BostonScott,24.459
25,CamAkers,23.9256
42,BrianHill,23.7901
40,RaheemMostert,23.4047
30,DamienHarris,21.1018
69,LynnBowden,21.0955
54,SalvonAhmed,20.0927
39,BennySnell,19.7513
36,PhillipLindsay,19.0314
60,KerryonJohnson,19.0055
47,DevontaeBooker,18.9171
45,AlexanderMattison,18.8873
58,JustinJackson,17.0426
52,SonyMichel,16.3997
56,SamajePerine,15.0304
46,PeytonBarber,14.1037
55,MarkIngram,13.2076
62,DeeJayDallas,12.6853
57,MattBreida,11.7203
61,RodneySmith,11.6951
66,SaquonBarkley,11.153
63,DareOgunbowale,10.3376
73,MalcolmPerry,9.3748
68,AlexCollins,7.3537
65,DarwinThompson,6.9846
70,JaylenSamuels,6.4673
67,TyMontgomery,5.9657
64,TevinColeman,5.1647
71,MarlonMack,3.8208
74,AnthonySherman,2.4786
72,TonyJones,
