,Player,TEG
1,TravisKelce,97.7674
0,DarrenWaller,93.4261
2,LoganThomas,64.8015
3,TJHockenson,60.6304
8,MarkAndrews,55.8305
17,RobGronkowski,55.6363
7,HunterHenry,55.2727
5,DaltonSchultz,55.1334
6,NoahFant,54.8501
4,EvanEngram,54.6871
11,MikeGesicki,54.1108
10,HaydenHurst,53.3375
12,RobertTonyan,51.9432
9,EricEbron,51.312
13,JimmyGraham,47.8739
20,JonnuSmith,46.4611
18,TylerHigbee,45.5686
24,JaredCook,42.3744
15,DallasGoedert,41.5651
16,AustinHooper,41.3932
14,GeorgeKittle,40.6181
19,GeraldEverett,35.5704
28,DanArnold,35.3525
21,DrewSample,34.4661
26,ZachErtz,33.7774
25,TylerEifert,32.918
30,IrvSmith,32.6923
29,ChrisHerndon,30.9983
23,JordanAkins,29.3799
41,DawsonKnox,28.9641
27,MoAlie-Cox,28.9221
22,AnthonyFirkser,28.5282
33,ColeKmet,27.5826
45,DarrenFells,27.5154
39,HarrisonBryant,27.2869
35,KyleRudolph,26.8714
32,TreyBurton,26.1425
36,JordanReed,25.2583
44,JackDoyle,24.7906
40,WillDissly,24.3129
38,JacobHollister,23.0393
31,CameronBrate,22.1005
43,RichardRodgers,22.0077
34,JamesOShaughnessy,21.7936
46,IanThomas,21.5414
37,DurhamSmythe,21.3068
42,GregOlsen,21.0099
49,DavidNjoku,20.2219
48,RossDwelley,20.0922
47,TylerConklin,18.7839
59,AdamShaheen,17.553
57,RyanIzzo,17.2286
55,JesseJames,16.9575
62,MarcedesLewis,16.0134
52,AdamTrautman,15.3699
63,DonaldParham,15.0732
54,PharaohBrown,14.5823
53,NickBoyle,14.3404
50,KadenSmith,14.194
51,VanceMcDonald,13.7514
56,NickVannett,13.5966
58,JasonWitten,13.5105
61,OJHoward,12.2671
71,FosterMoreau,11.6107
66,DarrellDaniels,11.2609
60,BlakeBell,10.8824
72,LukeStocker,10.6835
69,MaxxWilliams,10.6533
64,RyanGriffin,10.327
67,JoshHill,9.8661
73,ChrisManhertz,9.7921
75,MyColePruitt,8.9483
65,StephenAnderson,7.5906
68,CJUzomah,7.4555
70,DemetriusHarris,7.1053
78,LeeSmith,6.9296
76,LevineToilolo,6.2455
80,DevinAsiasi,6.1955
79,VirgilGreen,5.9802
74,CethanCarter,5.6709
89,ColinThompson,4.0544
77,JohnnyMundt,3.6557
88,JeremySprinkle,3.4381
82,DominiqueDafney,3.2864
86,BenEllefson,2.9717
90,TrevonWesco,2.3456
84,StephenCarlson,1.8881
81,DanielBrown,1.7941
85,JosiahDeguara,1.4142
83,MarcusBaugh,1.2953
87,BlakeJarwin,0.8321
