,Player,WRG
,DavanteAdams,84.3122
,StefonDiggs,83.728
,DeAndreHopkins,79.6074
,TravisKelce,78.1934
,TyreekHill,77.4258
,DarrenWaller,75.5743
,CalvinRidley,73.6765
,DKMetcalf,73.4901
,JustinJefferson,70.4631
,AllenRobinson,69.5062
,TylerLockett,68.7526
,KeenanAllen,67.5777
,TerryMcLaurin,66.537
,RobbyAnderson,65.2992
,AmariCooper,64.9826
,AdamThielen,63.2881
,RobertWoods,63.2697
,MikeEvans,62.9612
,BrandinCooks,62.7264
,AJBrown,62.5922
,JuJuSmith-Schuster,62.3705
15,DiontaeJohnson,62.3702
35,DJMoore,61.93
25,MarvinJones,61.3903
11,CooperKupp,58.8573
43,ChaseClaypool,57.5852
33,TeeHiggins,55.9183
51,MichaelGallup,54.6946
26,CeeDeeLamb,53.9551
54,MarquiseBrown,53.9312
30,LoganThomas,53.3638
70,JerryJeudy,53.3523
18,AlvinKamara,53.225
23,TylerBoyd,53.1576
20,ColeBeasley,53.0043
37,CoreyDavis,51.5981
28,RussellGage,50.5757
81,NelsonAgholor,50.5343
34,TJHockenson,49.3685
29,JarvisLandry,49.2452
38,ChrisGodwin,48.6705
47,BrandonAiyuk,47.9428
24,CurtisSamuel,47.8144
45,DarnellMooney,47.2818
41,DeVanteParker,47.0642
76,DariusSlayton,46.9656
57,TYHilton,46.8416
84,MikeWilliams,46.4945
64,DJChark,46.2133
42,DaltonSchultz,46.1868
74,TimPatrick,46.0149
39,EvanEngram,45.871
48,HunterHenry,45.7592
22,JDMcKissic,45.5892
44,NoahFant,45.4419
49,JamisonCrowder,44.8232
94,RobGronkowski,44.6615
60,KeelanCole,44.3343
53,MarkAndrews,44.2828
140,MarquezValdes-Scantling,43.7428
87,AJGreen,43.7073
58,HaydenHurst,43.6289
82,ChristianKirk,43.2993
67,MikeGesicki,43.0681
98,ZachPascal,42.1352
56,EricEbron,42.0721
72,RobertTonyan,41.0971
46,EmmanuelSanders,40.8621
36,SterlingShepard,40.8038
71,JoshReynolds,40.7969
126,GabrielDavis,40.284
55,LaviskaShenault,39.9173
52,JakobiMeyers,39.8016
86,DamiereByrd,39.316
59,HunterRenfrow,38.7649
68,GregWard,38.41
77,KendrickBourne,38.3114
75,JimmyGraham,38.1798
102,JonnuSmith,37.7841
97,TylerHigbee,37.7704
73,JulioJones,37.6189
158,JalenGuyton,37.1773
40,NyheimHines,36.2448
63,DavidMontgomery,35.3362
101,MecoleHardman,34.9751
91,AustinHooper,34.2806
90,DallasGoedert,34.219
69,EzekielElliott,34.1198
104,MichaelPittman,34.1049
150,BreshadPerriman,33.9499
78,AnthonyMiller,33.8531
62,LarryFitzgerald,33.7538
83,GeorgeKittle,33.5308
50,MikeDavis,33.5242
109,TravisFulgham,33.442
95,DemarcusRobinson,33.3125
115,JaredCook,33.146
65,ChaseEdmonds,33.0602
