,Player,QBG
1,TomBrady,84.97667717649584
4,PatrickMahomes,81.45920477257576
5,JoshAllen,80.94976411204401
9,DeshaunWatson,79.67838320811113
0,MattRyan,79.23537052387894
12,AaronRodgers,78.03677446131982
7,RussellWilson,77.8524573926944
3,JustinHerbert,72.54988301332509
14,KirkCousins,72.00703289279939
11,MatthewStafford,70.07365373713009
17,RyanTannehill,69.95298817398483
6,KylerMurray,68.79694814838798
2,BenRoethlisberger,68.6886661252315
13,DerekCarr,68.28089461779837
16,BakerMayfield,65.48149338177339
10,PhilipRivers,65.1227383474117
8,JaredGoff,60.32030098764223
15,TeddyBridgewater,57.476233836098636
23,LamarJackson,54.34177522355229
22,DrewBrees,51.5665828538567
19,DrewLock,51.42765084070743
18,DanielJones,50.696527948069956
20,CarsonWentz,50.470628308325274
21,JoeBurrow,48.25517478624845
27,GardnerMinshew,41.61442135830922
24,CamNewton,40.99886616347585
32,RyanFitzpatrick,39.607941996656486
30,MitchellTrubisky,39.36517944412732
26,AndyDalton,39.30799226617295
28,NickMullens,38.177162704143946
25,SamDarnold,37.751091307879655
29,NickFoles,35.791711986903884
31,TuaTagovailoa,35.054982356234916
35,DakPrescott,34.591126661979956
33,AlexSmith,24.791644824528625
34,DwayneHaskins,23.86274172016405
36,MikeGlennon,22.5348146620085
40,JoeFlacco,21.716894182255118
37,JalenHurts,21.38742009002355
39,JimmyGaroppolo,21.242852844371612
41,TaysomHill,19.756654432078363
93,JamisonCrowder,19.19722620832468
43,CJBeathard,18.646901343432894
38,BrandonAllen,18.236176752356705
44,KyleAllen,16.92615010412502
84,JakobiMeyers,16.68911188814287
89,ColeBeasley,15.848417503397009
82,RussellGage,14.722625694639982
77,JarvisLandry,14.127724878330083
42,JakeLuton,14.1045948805646
98,ZayJones,14.013451186489467
51,MasonRudolph,13.916191251396473
58,MarcusMariota,13.867097806512717
91,JosephCharlton,13.793154874950764
103,IsaiahMcKenzie,13.62669987773917
86,CedrickWilson,13.100963191026391
46,JeffDriskel,12.651139788471694
81,JulianEdelman,12.292041448905495
90,OdellBeckham,12.287066212439237
55,JohnWolford,11.328572096004649
53,GarrettGilbert,11.110867758534612
52,BrettRypien,10.996209672131165
45,ColtMcCoy,10.49788248224013
62,BlaineGabbert,9.722318606269909
107,LoganThomas,8.854281401213806
61,TaylorHeinicke,8.307200222489037
56,RyanFinley,8.257909810744914
60,MattBarkley,7.462136870009396
54,ChadHenne,7.416483853022707
78,LoganWoodside,7.399653845414107
71,JacobyBrissett,7.009609517605877
80,TylerBoyd,6.549057848141744
49,ChaseDaniel,6.470821274900422
83,TravisKelce,6.349234561410295
69,TraceMcSorley,6.34412539770887
79,LynnBowden,6.2750450472236725
57,TyrodTaylor,6.077588248740739
48,JarrettStidham,5.881791067472221
63,ChrisStreveler,5.648093588228103
73,JoshuaDobbs,5.5398310871942265
68,CaseKeenum,5.247982783910346
50,BenDiNucci,5.199911448883965
59,BrianHoyer,5.164316019835033
75,NathanPeterman,3.871378526405437
108,TommyTownsend,3.270131915636567
66,JameisWinston,3.1832608266476936
102,AJMcCarron,3.0351322260384013
64,RobertGriffin,2.837441593022522
109,GregWard,2.3812414096603916
67,DavidBlough,2.2203247683115044
85,GoldenTate,1.9266119984684245
76,GenoSmith,1.8274783433695418
72,TylerBray,1.7876164329315012
95,AlexErickson,1.1485761137241164
74,TylerHuntley,0.9758513279390927
65,NateSudfeld,0.8463508689547384
106,EastonStick,0.7677202688063087
92,RandallCobb,0.4074094373492675
111,IsaiahWright,0.37979785440369407
105,ZachPascal,0.2988717846061513
88,KeenanAllen,0.24665351542120742
87,JamalAgnew,0.1889129296471489
99,BrettKern,0.07209180202036064
70,KendallHinton,-0.5891492900665514
110,SammyWatkins,-6.187491875827357
47,PhillipWalker,
94,RileyDixon,
96,JaquanJohnson,
97,ChrisJones,
100,SamKoch,
101,AndyLee,
104,DJMoore,
