,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
0,DerrickHenry,TEN,26,RB,16,16,378,2027,98.0,954,2.5,1073,2.8,34,11.1
1,DalvinCook,MIN,25,RB,14,14,312,1557,91.0,801,2.6,756,2.4,33,9.5
2,JoshJacobs,LVR,22,RB,15,15,273,1065,61.0,525,1.9,540,2.0,20,13.7
3,DavidMontgomery,CHI,23,RB,15,14,247,1070,59.0,480,1.9,590,2.4,29,8.5
4,EzekielElliott,DAL,25,RB,15,15,244,979,62.0,458,1.9,521,2.1,15,16.3
5,JamesRobinson,JAX,22,RB,14,14,240,1070,54.0,455,1.9,615,2.6,16,15.0
6,KenyanDrake,ARI,26,RB,15,13,239,955,59.0,549,2.3,406,1.7,16,14.9
7,JonathanTaylor,IND,21,RB,15,13,232,1169,69.0,690,3.0,479,2.1,15,15.5
8,MelvinGordon,DEN,27,rb,15,10,215,986,46.0,530,2.5,456,2.1,16,13.4
9,AaronJones,GNB,26,RB,14,14,201,1104,52.0,512,2.5,592,2.9,14,14.4
10,KareemHunt,CLE,25,rb,16,5,198,841,44.0,376,1.9,465,2.3,18,11.0
11,ToddGurley,ATL,26,RB,15,15,195,678,45.0,329,1.7,349,1.8,19,10.3
12,RonaldJones,TAM,23,RB,14,13,192,978,48.0,394,2.1,584,3.0,10,19.2
13,NickChubb,CLE,25,RB,12,12,190,1067,56.0,556,2.9,511,2.7,21,9.0
14,FrankGore,NYJ,37,RB,15,14,187,653,32.0,279,1.5,374,2.0,8,23.4
15,AlvinKamara,NOR,25,rb,15,10,187,932,58.0,526,2.8,406,2.2,19,9.8
16,ClydeEdwards-Helaire,KAN,21,RB,13,13,181,803,39.0,419,2.3,384,2.1,15,12.1
17,AntonioGibson,WAS,22,rb,14,10,170,795,40.0,447,2.6,348,2.0,20,8.5
18,JamesConner,PIT,25,RB,13,11,169,721,42.0,385,2.3,336,2.0,17,9.9
19,MikeDavis,CAR,27,RB,15,12,165,642,38.0,244,1.5,398,2.4,21,7.9
20,MilesSanders,PHI,23,RB,12,11,164,867,39.0,497,3.0,370,2.3,9,18.2
21,LamarJackson,BAL,23,QB,15,15,159,1005,56.0,800,5.0,205,1.3,8,19.9
22,AdrianPeterson,DET,35,rb,16,10,156,604,34.0,346,2.2,258,1.7,11,14.2
23,DevinSingletary,BUF,23,RB,16,16,156,687,40.0,238,1.5,449,2.9,9,17.3
24,WayneGallman,NYG,26,rb,15,10,147,682,35.0,320,2.2,362,2.5,10,14.7
25,DavidJohnson,HOU,29,RB,12,12,147,691,38.0,402,2.7,289,2.0,7,21.0
26,LataviusMurray,NOR,30,ss,15,7,146,656,36.0,363,2.5,293,2.0,4,36.5
27,CamAkers,LAR,21,rb,13,5,145,625,26.0,321,2.2,304,2.1,6,24.2
28,GusEdwards,BAL,25,rb,16,6,144,723,45.0,334,2.3,389,2.7,11,13.1
29,MylesGaskin,MIA,23,rb,10,7,142,584,27.0,297,2.1,287,2.0,6,23.7
30,ChrisCarson,SEA,26,RB,12,12,141,681,43.0,375,2.7,306,2.2,10,14.1
