,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
0,DerrickHenry,TEN,26,RB,16,16,378,2027,17,98,94,5.4,126.7,3
1,DalvinCook,MIN,25,RB,14,14,312,1557,16,91,70,5.0,111.2,5
2,JoshJacobs,LVR,22,RB,15,15,273,1065,12,61,28,3.9,71.0,2
3,DavidMontgomery,CHI,23,RB,15,14,247,1070,8,59,80,4.3,71.3,1
4,EzekielElliott,DAL,25,RB,15,15,244,979,6,62,31,4.0,65.3,6
5,JamesRobinson,JAX,22,RB,14,14,240,1070,7,54,47,4.5,76.4,3
6,KenyanDrake,ARI,26,RB,15,13,239,955,10,59,69,4.0,63.7,3
7,JonathanTaylor,IND,21,RB,15,13,232,1169,11,69,62,5.0,77.9,1
8,MelvinGordon,DEN,27,rb,15,10,215,986,9,46,65,4.6,65.7,4
9,AaronJones,GNB,26,RB,14,14,201,1104,9,52,77,5.5,78.9,2
10,KareemHunt,CLE,25,rb,16,5,198,841,6,44,33,4.2,52.6,2
11,ToddGurley,ATL,26,RB,15,15,195,678,9,45,35,3.5,45.2,2
12,RonaldJones,TAM,23,RB,14,13,192,978,7,48,98,5.1,69.9,2
13,NickChubb,CLE,25,RB,12,12,190,1067,12,56,59,5.6,88.9,1
14,FrankGore,NYJ,37,RB,15,14,187,653,2,32,17,3.5,43.5,1
15,AlvinKamara,NOR,25,rb,15,10,187,932,16,58,49,5.0,62.1,1
16,ClydeEdwards-Helaire,KAN,21,RB,13,13,181,803,4,39,31,4.4,61.8,0
17,AntonioGibson,WAS,22,rb,14,10,170,795,11,40,40,4.7,56.8,2
18,JamesConner,PIT,25,RB,13,11,169,721,6,42,59,4.3,55.5,2
19,MikeDavis,CAR,27,RB,15,12,165,642,6,38,25,3.9,42.8,1
20,MilesSanders,PHI,23,RB,12,11,164,867,6,39,82,5.3,72.3,4
21,LamarJackson,BAL,23,QB,15,15,159,1005,7,56,50,6.3,67.0,10
22,AdrianPeterson,DET,35,rb,16,10,156,604,7,34,38,3.9,37.8,0
23,DevinSingletary,BUF,23,RB,16,16,156,687,2,40,51,4.4,42.9,1
24,WayneGallman,NYG,26,rb,15,10,147,682,6,35,60,4.6,45.5,1
25,DavidJohnson,HOU,29,RB,12,12,147,691,6,38,48,4.7,57.6,2
26,LataviusMurray,NOR,30,ss,15,7,146,656,4,36,36,4.5,43.7,1
27,CamAkers,LAR,21,rb,13,5,145,625,2,26,61,4.3,48.1,1
28,GusEdwards,BAL,25,rb,16,6,144,723,6,45,36,5.0,45.2,1
29,MylesGaskin,MIA,23,rb,10,7,142,584,3,27,26,4.1,58.4,2
30,ChrisCarson,SEA,26,RB,12,12,141,681,5,43,29,4.8,56.8,1
31,DarrellHenderson,LAR,23,RB,15,11,138,624,5,40,40,4.5,41.6,0
32,DamienHarris,NWE,23,rb,10,10,137,691,2,30,41,5.0,69.1,1
33,CamNewton,NWE,31,QB,15,15,137,592,12,55,49,4.3,39.5,6
34,JKDobbins,BAL,22,rb,15,1,134,805,9,38,72,6.0,53.7,2
35,KylerMurray,ARI,23,QB,16,16,133,819,11,52,48,6.2,51.2,9
36,JeffWilson,SFO,25,rb,12,3,126,600,7,31,34,4.8,50.0,2
37,GiovaniBernard,CIN,29,rb,16,10,124,416,3,23,15,3.4,26.0,1
38,JoeMixon,CIN,24,rb,6,6,119,428,3,20,34,3.6,71.3,1
39,JamaalWilliams,GNB,25,rb,14,3,119,505,2,29,25,4.2,36.1,0
40,PhillipLindsay,DEN,26,rb,11,8,118,502,1,19,55,4.3,45.6,0
41,AustinEkeler,LAC,25,rb,10,10,116,530,1,26,27,4.6,53.0,1
42,DAndreSwift,DET,21,rb,13,4,114,521,8,31,54,4.6,40.1,3
43,ZackMoss,BUF,23,,13,0,112,481,4,30,31,4.3,37.0,0
44,JoshuaKelley,LAC,23,,14,0,111,354,2,20,33,3.2,25.3,2
45,BennySnell,PIT,22,rb,16,3,111,368,4,25,30,3.3,23.0,2
46,RaheemMostert,SFO,28,rb,8,8,104,521,2,22,80,5.0,65.1,1
47,JoshAllen,BUF,24,QB,16,16,102,421,8,38,24,4.1,26.3,9
48,MalcolmBrown,LAR,27,,16,0,101,419,5,25,19,4.1,26.2,1
49,TonyPollard,DAL,23,rb,16,2,101,435,4,23,42,4.3,27.2,0
50,BrianHill,ATL,25,rb,16,1,100,465,1,18,62,4.7,29.1,2
51,ChaseEdmonds,ARI,24,rb,16,2,97,448,1,22,32,4.6,28.0,2
52,LeonardFournette,TAM,25,rb,13,3,97,367,6,21,46,3.8,28.2,0
53,AlexanderMattison,MIN,22,rb,13,2,96,434,2,24,25,4.5,33.4,0
54,PeytonBarber,WAS,26,rb,16,2,94,258,4,26,15,2.7,16.1,0
55,DevontaeBooker,LVR,28,rb,16,1,93,423,3,21,43,4.5,26.4,1
56,KalenBallage,2TM,25,,11,2,91,303,3,25,17,3.3,27.5,1
57,DeshaunWatson,HOU,25,QB,16,16,90,444,3,31,16,4.9,27.8,8
58,NyheimHines,IND,24,rb,16,2,89,380,3,24,31,4.3,23.8,0
59,TaysomHill,NOR,30,wr,16,8,87,457,8,34,43,5.3,28.6,10
60,JDMcKissic,WAS,27,rb,16,7,85,365,1,25,17,4.3,22.8,3
61,JordanWilkins,IND,26,,15,0,84,308,1,17,22,3.7,20.5,0
62,RussellWilson,SEA,32,QB,16,16,83,513,2,25,38,6.2,32.1,7
63,LeVeonBell,2TM,28,,11,4,82,328,2,21,16,4.0,29.8,1
64,CarlosHyde,SEA,30,,10,1,81,356,4,20,50,4.4,35.6,1
65,JerickMcKinnon,SFO,28,rb,16,4,81,319,5,16,55,3.9,19.9,0
66,BostonScott,PHI,25,rb,16,4,80,374,1,16,56,4.7,23.4,2
67,SonyMichel,NWE,25,rb,9,6,79,449,1,19,48,5.7,49.9,0
