,Player,RBG
15,AlvinKamara,68.53150986760171
1,DalvinCook,65.24619476524569
0,DerrickHenry,63.065154796939105
3,DavidMontgomery,58.40287523582243
4,EzekielElliott,55.84494744141271
5,JamesRobinson,52.27950874053189
2,JoshJacobs,52.159250276283586
9,AaronJones,50.01459979785855
7,JonathanTaylor,48.84853623202384
49,JDMcKissic,46.77393339572893
19,MikeDavis,46.63869558260768
8,MelvinGordon,46.47158716692587
6,KenyanDrake,45.99134616629387
20,MilesSanders,43.42813794895745
10,KareemHunt,43.21154586845688
24,DavidJohnson,42.594629097667806
18,JamesConner,41.79875612154601
16,ClydeEdwards-Helaire,41.43576949939883
17,AntonioGibson,40.74816910308368
13,NickChubb,40.49547726416397
27,MylesGaskin,40.37007362223551
22,DevinSingletary,39.72505479061476
11,ToddGurley,39.184766400722495
12,RonaldJones,38.69224719385386
37,AustinEkeler,38.29590079529531
38,DAndreSwift,38.246554138268245
33,GiovaniBernard,37.280159437080584
43,ChaseEdmonds,37.048904878233145
28,ChrisCarson,36.684023006200576
48,NyheimHines,36.638219037803395
31,JKDobbins,34.7166955792966
44,LeonardFournette,31.709855179596012
23,WayneGallman,30.50516242338237
35,JamaalWilliams,30.384649028759764
34,JoeMixon,29.441783171422962
50,JerickMcKinnon,28.525573477456877
32,JeffWilson,27.76208886910765
26,GusEdwards,27.425873082695695
14,FrankGore,27.24938796395438
41,TonyPollard,27.217799930212628
59,ChristianMcCaffrey,27.16041037149705
29,DarrellHenderson,26.804552465399727
21,AdrianPeterson,26.256567648116118
53,DukeJohnson,25.907709795887317
51,BostonScott,24.459008098624494
25,CamAkers,23.92559026250289
42,BrianHill,23.790088228896348
40,RaheemMostert,23.404724552160964
30,DamienHarris,21.10180436436476
69,LynnBowden,21.095538924092768
54,SalvonAhmed,20.09270493317477
39,BennySnell,19.751342839342946
36,PhillipLindsay,19.03142671628594
60,KerryonJohnson,19.005526200231294
47,DevontaeBooker,18.917055663288874
45,AlexanderMattison,18.88727189298973
58,JustinJackson,17.042596531368154
52,SonyMichel,16.39965990769521
56,SamajePerine,15.030370776114063
46,PeytonBarber,14.103716448418158
55,MarkIngram,13.20760142849415
62,DeeJayDallas,12.68530582050514
57,MattBreida,11.720334605117184
61,RodneySmith,11.695062884269527
66,SaquonBarkley,11.153021085333052
63,DareOgunbowale,10.337641270992298
73,MalcolmPerry,9.374792159803324
68,AlexCollins,7.353686713462586
65,DarwinThompson,6.98460136202271
70,JaylenSamuels,6.46732269686029
67,TyMontgomery,5.96566917307529
64,TevinColeman,5.16465818162899
71,MarlonMack,3.820774535297702
74,AnthonySherman,2.478601319647301
72,TonyJones,
