,Player,TEG
1,TravisKelce,97.7674036539598
0,DarrenWaller,93.42610780768857
2,LoganThomas,64.80145689298934
3,TJHockenson,60.630351239256406
8,MarkAndrews,55.83054998203168
17,RobGronkowski,55.636289130933434
7,HunterHenry,55.27272201726032
5,DaltonSchultz,55.133363735262186
6,NoahFant,54.850096516870806
4,EvanEngram,54.687065197547554
11,MikeGesicki,54.11081368145892
10,HaydenHurst,53.33750591229671
12,RobertTonyan,51.943209156250326
9,EricEbron,51.312010591231974
13,JimmyGraham,47.873870605799794
20,JonnuSmith,46.46114542065692
18,TylerHigbee,45.568624000918696
24,JaredCook,42.37441924675711
15,DallasGoedert,41.56508087115442
16,AustinHooper,41.39322820719937
14,GeorgeKittle,40.61808123823746
19,GeraldEverett,35.570373511721634
28,DanArnold,35.35251113328151
21,DrewSample,34.46610227747708
26,ZachErtz,33.77736140621946
25,TylerEifert,32.91796568091512
30,IrvSmith,32.69230524349479
29,ChrisHerndon,30.998257957346276
23,JordanAkins,29.379892701988464
41,DawsonKnox,28.96405396225093
27,MoAlie-Cox,28.92212810630842
22,AnthonyFirkser,28.52823348619881
33,ColeKmet,27.582599082816817
45,DarrenFells,27.51543194494188
39,HarrisonBryant,27.28685671339065
35,KyleRudolph,26.87144071587194
32,TreyBurton,26.142471462126267
36,JordanReed,25.258345892428068
44,JackDoyle,24.790591061121177
40,WillDissly,24.312896289531754
38,JacobHollister,23.039338530459812
31,CameronBrate,22.10050622247327
43,RichardRodgers,22.007665446040164
34,JamesOShaughnessy,21.793646328544188
46,IanThomas,21.541368561321857
37,DurhamSmythe,21.30677905944056
42,GregOlsen,21.009859353814157
49,DavidNjoku,20.221949417882605
48,RossDwelley,20.09221820799305
47,TylerConklin,18.78394785064892
59,AdamShaheen,17.552984753553574
57,RyanIzzo,17.228590018970397
55,JesseJames,16.957502271185117
62,MarcedesLewis,16.013400311700174
52,AdamTrautman,15.369922320714299
63,DonaldParham,15.073220562097589
54,PharaohBrown,14.58226642867463
53,NickBoyle,14.34041599824631
50,KadenSmith,14.193974138171745
51,VanceMcDonald,13.751379777717924
56,NickVannett,13.596628876908317
58,JasonWitten,13.510517912288877
61,OJHoward,12.267110881780905
71,FosterMoreau,11.610719479354008
66,DarrellDaniels,11.260901650401305
60,BlakeBell,10.882414434953544
72,LukeStocker,10.683462961964823
69,MaxxWilliams,10.653345352247534
64,RyanGriffin,10.326954012285896
67,JoshHill,9.866141886187757
73,ChrisManhertz,9.79213545192624
75,MyColePruitt,8.94828330781786
65,StephenAnderson,7.59061714374137
68,CJUzomah,7.455547881822705
70,DemetriusHarris,7.1052772356299325
78,LeeSmith,6.9296311321573905
76,LevineToilolo,6.2454559502665905
80,DevinAsiasi,6.1954533848446935
79,VirgilGreen,5.980164981113605
74,CethanCarter,5.670874093906531
89,ColinThompson,4.054360006001468
77,JohnnyMundt,3.6557376715569814
88,JeremySprinkle,3.4380892337353965
82,DominiqueDafney,3.2863928689993416
86,BenEllefson,2.9716904933087704
90,TrevonWesco,2.3456498092578864
84,StephenCarlson,1.8880794029112378
81,DanielBrown,1.7941410587748798
85,JosiahDeguara,1.4141901709825786
83,MarcusBaugh,1.2953361857779708
87,BlakeJarwin,0.8320788148491971
