,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,AirYards,Ctch%,Y/R,Lng,Y/Tgt,R/G,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
3,DarrenWaller,LVR,28,TE,16,15,145,107,1196,9,69.0,624,5.8,572,5.3,7.8,7,15.3,4,2.8,3.0,110.0,1131.0,73.8%,11.2,38.0,8.2,6.7,74.8,2.0,LV,56.0,74.0,56.0,70,64,bye,59,57,45,64,55,61.0,74,66.0,69.0,63.0,60.0,993.0,62.1
4,TravisKelce,KAN,31,TE,15,15,145,105,1416,11,79.0,829,7.9,587,5.6,8.5,10,10.5,2,1.4,3.0,119.8,1232.5,72.4%,13.5,45.0,9.8,7.0,94.4,1.0,KC,61.0,74.0,61.0,0,65,65,40,50,57,bye,69,68.0,57,56.0,78.0,56.0,0.0,857.0,61.2
30,LoganThomas,WAS,29,TE,16,15,110,72,670,6,36.0,382,5.3,288,4.0,7.0,3,24.0,7,6.4,4.0,85.0,770.0,65.5%,9.3,30.0,6.1,4.5,41.9,0.0,WAS,53.0,60.0,55.0,66,47,63,54,bye,54,87,56,67.0,72,62.0,80.0,71.0,63.0,1010.0,63.1
34,TJHockenson,DET,23,TE,16,16,101,67,723,6,40.0,394,5.9,329,4.9,7.0,4,16.8,7,6.9,4.0,90.5,707.0,66.3%,10.8,51.0,7.2,4.2,45.2,1.0,DET,50.0,41.0,54.0,46,bye,29,44,45,57,39,37,60.0,53,56.0,52.0,46.0,39.0,748.0,46.8
39,EvanEngram,NYG,26,TE,16,14,109,63,654,1,29.0,367,5.8,287,4.6,6.9,4,15.8,11,10.1,6.0,55.4,752.1,57.8%,10.4,53.0,6.0,3.9,40.9,1.0,NYG,64.0,63.0,44.0,57,55,39,50,61,58,49,bye,78.0,40,42.0,43.0,50.0,44.0,837.0,52.3
42,DaltonSchultz,DAL,24,TE,16,14,89,63,615,4,33.0,336,5.3,279,4.4,6.4,8,7.9,4,4.5,2.0,95.5,569.6,70.8%,9.8,28.0,6.9,3.9,38.4,1.0,DAL,50.0,44.0,55.0,63,58,72,46,75,70,bye,60,51.0,71,49.0,51.0,65.0,81.0,961.0,60.1
44,NoahFant,DEN,23,TE,15,14,93,62,673,3,34.0,296,4.8,377,6.1,6.7,4,15.5,5,5.4,2.0,89.6,623.1,66.7%,10.9,37.0,7.2,4.1,44.9,0.0,DEN,43.0,61.0,53.0,35,bye,0,54,51,57,60,49,30.0,54,5.0,44.0,64.0,73.0,733.0,48.9
48,HunterHenry,LAC,26,TE,14,14,93,60,613,4,35.0,387,6.5,226,3.8,8.0,3,20.0,2,2.2,1.0,93.2,744.0,64.5%,10.2,33.0,6.6,4.3,43.8,0.0,LAC,59.0,71.0,69.0,45,67,bye,62,84,78,59,75,78.0,41,66.0,59.0,0.0,0.0,913.0,65.2
53,MarkAndrews,BAL,25,te,14,2,88,58,701,7,37.0,519,8.9,182,3.1,10.2,2,29.0,5,5.7,1.0,112.0,897.6,65.9%,12.1,39.0,8.0,4.1,50.1,2.0,BAL,42.0,38.0,44.0,37,43,38,bye,51,38,50,56,0.0,0,40.0,34.0,45.0,42.0,598.0,42.7
56,EricEbron,PIT,27,te,15,9,91,56,558,5,30.0,366,6.5,192,3.4,7.1,0,,7,7.7,1.0,92.7,646.1,61.5%,10.0,27.0,6.1,3.7,37.2,1.0,PIT,40.0,50.0,60.0,bye,58,46,66,46,59,62,70,49.0,57,38.0,10.0,55.0,0.0,766.0,51.1
