,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,AirYards,Ctch%,Y/R,Lng,Y/Tgt,R/G,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
0,StefonDiggs,BUF,27,WR,16,15,166,127,1535,8,73.0,1071,8.4,464,3.7,10.1,5,25.4,8,4.8,2.0,115.4,1676.6,76.5%,12.1,55.0,9.2,7.9,95.9,0.0,BUF,82.0,48.0,61.0,57,60,51,72,53,60,69,bye,60.0,69,70.0,67.0,56.0,31.0,966.0,60.4
1,DavanteAdams,GNB,28,WR,14,14,149,115,1374,18,73.0,777,6.8,597,5.2,8.9,2,57.5,1,0.7,3.0,136.0,1326.1,77.2%,11.9,56.0,9.2,8.2,98.1,1.0,GB,69.0,38.0,0.0,0,bye,52,57,70,50,53,57,63.0,54,62.0,60.0,47.0,41.0,773.0,55.2
2,DeAndreHopkins,ARI,28,WR,16,16,160,115,1407,6,75.0,873,7.6,534,4.6,8.9,15,7.7,2,1.3,2.0,105.9,1424.0,71.9%,12.2,60.0,8.8,7.2,87.9,3.0,ARI,77.0,75.0,61.0,54,65,48,79,bye,67,70,61,71.0,64,62.0,65.0,75.0,48.0,1042.0,65.1
5,AllenRobinson,CHI,27,WR,16,16,151,102,1250,6,68.0,931,9.1,319,3.1,9.6,5,20.4,3,2.0,5.0,92.3,1449.6,67.5%,12.3,42.0,8.3,6.4,78.1,0.0,CHI,53.0,53.0,64.0,55,55,58,0,68,73,45,bye,64.0,51,45.0,57.0,49.0,71.0,861.0,57.4
6,KeenanAllen,LAC,28,WR,14,13,147,100,992,8,61.0,555,5.6,437,4.4,7.2,2,50.0,3,2.0,5.0,90.9,1058.4,68.0%,9.9,28.0,6.7,7.1,70.9,3.0,LAC,70.0,81.0,75.0,50,12,bye,69,85,78,55,78,78.0,62,57.0,24.0,0.0,0.0,874.0,62.4
7,TylerLockett,SEA,28,WR,16,16,132,100,1054,10,57.0,727,7.3,327,3.3,9.7,2,50.0,8,6.1,1.0,120.6,1280.4,75.8%,10.5,47.0,8.0,6.3,65.9,1.0,SEA,58.0,60.0,74.0,56,52,bye,78,59,62,58,49,60.0,62,47.0,52.0,59.0,58.0,944.0,59.0
8,JuJuSmith-Schuster,PIT,24,WR,16,14,128,97,831,9,48.0,422,4.4,409,4.2,5.5,4,24.3,3,2.3,5.0,99.4,704.0,75.8%,8.6,31.0,6.5,6.1,51.9,3.0,PIT,55.0,59.0,58.0,bye,57,42,65,41,63,61,59,67.0,61,57.0,59.0,63.0,56.0,923.0,57.7
9,RobbyAnderson,CAR,27,WR,16,16,136,95,1096,3,49.0,599,6.3,497,5.2,9.7,3,31.7,6,4.4,2.0,95.1,1319.2,69.9%,11.5,75.0,8.1,5.9,68.5,1.0,CAR,56.0,54.0,40.0,45,47,59,40,45,69,35,50,53.0,bye,57.0,62.0,52.0,42.0,806.0,50.4
10,AmariCooper,DAL,26,WR,16,15,130,92,1114,5,54.0,701,7.6,413,4.5,8.8,5,18.4,3,2.3,4.0,96.8,1144.0,70.8%,12.1,69.0,8.6,5.8,69.6,0.0,DAL,68.0,63.0,65.0,63,42,79,42,59,60,bye,54,50.0,69,42.0,45.0,51.0,81.0,933.0,58.3
11,CooperKupp,LAR,27,WR,15,12,124,92,974,3,44.0,449,4.9,525,5.7,6.0,12,7.7,6,4.8,3.0,94.6,744.0,74.2%,10.6,55.0,7.9,6.1,64.9,1.0,LAR,62.0,59.0,62.0,49,56,55,0,92,bye,37,52,55.0,53,39.0,48.0,60.0,0.0,779.0,55.6
