,Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
0,AdrianPeterson,DET,24,15,39,27,bye,12,18,12,20,7,17,22,32,16,16,6,15,298,18.6
1,FrankGore,NYJ,14,37,26,37,23,25,16,22,23,bye,35,32,2,17,40,31,0,380,25.3
2,LeSeanMcCoy,TB,25,11,11,5,0,19,0,0,0,3,0,1,bye,16,12,13,0,116,11.6
3,MarkIngram,BAL,21,27,18,14,19,10,bye,0,0,17,6,0,11,1,0,0,17,161,14.6
4,TaiwanJones,BUF,0,0,0,1,1,0,0,0,0,0,bye,0,0,0,1,1,0,4,0.3
5,AnthonySherman,KC,11,7,10,0,2,0,0,0,0,bye,2,3,2,5,10,4,4,60,5.0
6,DionLewis,NYG,6,57,20,21,20,9,15,21,17,14,bye,22,12,16,18,24,12,304,19.0
7,LamarMiller,CHI,0,0,0,0,0,0,0,0,0,5,bye,0,0,0,0,0,0,5,5.0
8,AlfredMorris,NYG,0,0,0,0,0,0,0,21,16,15,bye,8,11,6,13,8,13,111,12.3
9,GiovaniBernard,CIN,20,42,18,13,16,35,58,47,bye,44,37,38,35,17,38,44,16,518,32.4
10,LeVeonBell,Multi,32,0,0,0,46,0,17,17,19,0,20,24,33,11,31,20,0,270,24.5
11,TheoRiddick,LV,0,0,0,7,0,bye,0,0,0,0,0,0,13,0,14,0,14,48,12.0
12,ChrisThompson,JAC,13,31,30,16,30,15,0,bye,19,1,0,0,0,0,0,0,0,155,19.4
13,RexBurkhead,NE,19,51,32,0,bye,18,25,32,34,20,12,0,0,0,0,0,0,243,27.0
14,KenjonBarner,TB,0,0,0,4,0,0,0,0,0,0,0,0,bye,0,1,1,0,6,1.0
15,KyleJuszczyk,SF,36,29,38,22,22,22,37,27,23,23,bye,31,14,44,39,30,35,472,29.5
16,LataviusMurray,NO,23,16,21,29,21,bye,23,18,29,24,33,30,32,20,16,29,0,364,24.3
17,CarlosHyde,SEA,22,15,16,0,0,bye,41,0,0,0,46,41,18,32,10,20,0,261,26.1
18,DevontaFreeman,NYG,0,0,15,37,37,35,12,0,0,0,bye,0,0,0,0,0,0,136,27.2
19,JamesWhite,NE,20,0,0,0,bye,31,10,31,21,10,39,20,19,27,27,16,20,291,22.4
20,JerickMcKinnon,SF,19,13,48,67,16,23,12,35,42,44,bye,18,2,0,14,10,9,372,23.3
21,KeithSmith,ATL,13,12,19,16,9,13,14,17,12,bye,7,20,10,16,14,17,13,222,13.9
22,SenorisePerry,TEN,0,2,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3
23,MelvinGordon,DEN,37,61,39,56,bye,0,46,36,44,40,34,35,35,28,34,51,51,627,41.8
24,ToddGurley,ATL,37,48,35,38,36,46,52,36,44,bye,23,0,22,19,16,27,28,507,33.8
25,AmeerAbdullah,MIN,3,1,0,0,1,18,bye,0,1,3,0,0,4,15,1,11,16,74,4.6
26,TevinColeman,SF,6,30,0,0,0,0,0,6,0,0,bye,0,4,2,6,7,2,63,7.9
27,DukeJohnson,HOU,14,0,0,25,17,19,20,bye,53,54,47,42,34,30,0,0,0,355,32.3
28,TJYeldon,BUF,0,0,6,8,28,0,0,0,0,0,bye,0,0,0,0,0,0,42,14.0
29,MikeDavis,CAR,3,24,39,55,54,60,33,46,26,25,52,37,bye,49,37,40,0,580,38.7
30,DavidJohnson,HOU,48,56,45,36,45,55,54,bye,7,0,0,0,37,0,55,50,62,550,45.8
31,MalcolmBrown,LAR,44,37,34,35,26,27,0,57,bye,29,27,25,13,6,16,44,23,443,29.5
32,TyMontgomery,NO,4,6,0,0,0,bye,0,0,0,0,2,0,0,0,0,16,44,72,12.0
33,MichaelBurton,NO,17,2,11,20,13,bye,12,11,28,15,13,19,14,7,8,18,0,208,13.9
34,RaheemMostert,SF,37,13,0,0,31,35,0,0,0,0,bye,29,27,40,25,0,0,237,29.6
35,EzekielElliott,DAL,63,63,80,63,54,54,38,62,48,bye,46,39,50,32,0,37,48,777,51.8
36,DerrickHenry,TEN,61,44,56,bye,34,45,42,33,29,38,55,46,40,42,43,39,58,705,44.1
37,AlexCollins,SEA,0,0,0,0,0,bye,0,0,13,32,0,0,0,0,0,0,7,52,17.3
38,DevontaeBooker,LV,8,11,4,6,15,bye,15,10,13,26,15,22,33,19,9,15,17,238,14.9
39,JordanHoward,Multi,9,8,4,8,0,0,0,0,21,0,0,0,11,0,0,7,0,68,9.7
40,JonathanWilliams,DET,0,0,0,0,bye,0,0,0,0,0,0,21,6,0,0,0,0,27,5.4
41,CJProsise,HOU,0,3,2,0,0,0,0,bye,0,2,15,10,0,13,0,0,0,45,4.5
42,KenyanDrake,ARI,58,50,44,37,50,42,34,bye,0,38,33,41,29,44,34,52,29,615,41.0
43,TylerErvin,GB,14,28,23,23,bye,0,0,20,22,8,0,0,4,0,0,0,0,142,17.8
44,DJFoster,ARI,0,0,0,0,0,0,0,bye,5,0,0,0,0,0,0,17,3,25,2.5
45,AndyJanovich,CLE,10,22,17,24,14,7,9,6,bye,15,0,0,13,9,12,11,3,172,12.3
46,DerekWatt,PIT,8,6,7,bye,0,4,0,0,0,6,11,4,3,0,0,3,0,52,4.3
47,DeAndreWashington,Multi,0,0,0,0,0,0,10,0,0,4,0,34,0,39,0,0,0,87,21.8
48,DwayneWashington,NO,0,0,0,0,0,bye,0,0,8,0,0,3,0,0,0,0,0,11,1.0
49,PeytonBarber,WAS,29,1,5,5,2,8,23,bye,1,10,14,17,24,30,13,4,6,192,12.0
50,JalenRichard,LV,7,17,20,16,14,bye,19,14,9,3,0,0,32,21,3,17,0,192,14.8
51,CJHam,MIN,12,12,27,33,29,9,bye,22,34,35,35,22,44,40,20,0,32,406,27.1
